_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
086.4166674831480	+08.9834027546119	086.41669492806	0.1575	+08.98340164860	0.1445	3336088428097963136	0.6913	0.1845	6.296	0.337	-0.257	0.294	0	9.5850e+02	2.2029e+00	18.2344	0.0025	3.2446e+02	6.4533e+00	19.0735	0.0216	9.4620e+02	9.6229e+00	17.3220	0.0110	1.7515							
086.4203540210711	+08.9819510417966	086.42035784505	0.9814	+08.98194622791	0.9207	3336088432393848576	-0.4657	1.1955	0.877	2.577	-1.118	2.540	0	9.9961e+01	1.0620e+00	20.6888	0.0115	5.1533e+01	1.1224e+01	21.0712	0.2365	9.9486e+01	5.1979e+00	19.7675	0.0567	1.3037							
086.4159933723455	+09.0001669414399	086.41599584834	0.2099	+09.00015914784	0.1917	3336088531177187840	0.1272	0.2427	0.568	0.450	-1.810	0.389	0	6.2814e+02	2.1353e+00	18.6932	0.0037	2.5650e+02	1.1827e+01	19.3287	0.0501	6.1813e+02	1.6279e+01	17.7842	0.0286	1.5445							
086.4153925504438	+08.9795921178998	086.41539756764	0.3977	+08.97959286466	0.3616	3336088428098024704	0.5878	0.4822	1.151	1.028	0.173	1.039	0	2.7614e+02	1.5766e+00	19.5855	0.0062	8.7261e+01	7.0931e+00	20.4993	0.0883	2.9051e+02	6.5159e+00	18.6040	0.0244	1.8953							
086.4093650975453	+08.9907906290383	086.40936509755	28.7283	+08.99079062904	26.1557	3336088501112022912							0	7.5493e+01	1.2344e+00	20.9936	0.0178																
086.4197120121175	+08.9798884902396	086.41972493857	0.2843	+08.97989035654	0.2747	3336088428097959552	0.6431	0.3441	2.965	0.687	0.433	0.686	0	4.6732e+02	1.8798e+00	19.0143	0.0044	1.5964e+02	7.7579e+00	19.8436	0.0528	4.9124e+02	7.4811e+00	18.0337	0.0165	1.8099							
086.4165907529122	+08.9805869380716	086.41659688260	0.2565	+08.98058411480	0.2355	3336088428097960320	0.5250	0.3022	1.406	0.631	-0.656	0.642	0	5.2095e+02	1.9094e+00	18.8964	0.0040	2.0007e+02	4.1596e+00	19.5984	0.0226	4.6614e+02	5.6538e+00	18.0906	0.0132	1.5078							
086.4068022678519	+08.9947758965256	086.40680677318	0.7771	+08.99475673731	0.7048	3336088501112022272	-1.4399	0.9680	1.034	2.094	-4.450	2.066	0	1.1800e+02	1.4134e+00	20.5086	0.0130	6.6716e+01	1.2960e+01	20.7908	0.2109	1.4088e+02	8.0722e+00	19.3898	0.0622	1.4010							
086.4191963004573	+08.9893764179343	086.41921399011	0.8520	+08.98937608290	0.7760	3336088466753584128	-0.4254	1.0788	4.058	2.318	-0.078	2.303	0	1.1320e+02	1.2476e+00	20.5538	0.0120	4.6481e+01	9.6261e+00	21.1832	0.2249	1.4823e+02	1.3011e+01	19.3346	0.0953	1.8486							
086.4104610529476	+08.9784234366140	086.41046728205	0.0709	+08.97842194215	0.0666	3336088432394940544	0.1071	0.0862	1.429	0.146	-0.347	0.128	0	4.0277e+03	4.0148e+00	16.6757	0.0011	1.7620e+03	1.1790e+01	17.2364	0.0073	3.3303e+03	1.1406e+01	15.9557	0.0037	1.2807			4802.79				
086.4173088130493	+09.0036657382669	086.41730047515	0.7339	+09.00367482686	0.6578	3336088535473057408	-0.5983	0.9413	-1.913	2.083	2.111	2.041	0	1.2073e+02	1.0363e+00	20.4838	0.0093	5.8628e+01	1.2589e+01	20.9311	0.2331	1.5333e+02	7.5754e+00	19.2979	0.0536	1.6332							
086.4051250677314	+08.9861975623852	086.40513330729	0.3241	+08.98619169014	0.2978	3336088496817441408	0.8557	0.3822	1.890	0.806	-1.364	0.816	0	3.6382e+02	1.6270e+00	19.2862	0.0049	1.3289e+02	8.5784e+00	20.0427	0.0701	4.0569e+02	1.0439e+01	18.2414	0.0279	1.8012							
086.4293490711662	+09.0063693973400	086.42936169097	0.6269	+09.00635638414	0.5611	3336088634261040768	-0.0684	0.8602	2.895	1.768	-3.022	1.758	0	1.3747e+02	1.0364e+00	20.3428	0.0082	7.2107e+01	1.1076e+01	20.7064	0.1668	1.7044e+02	1.1229e+01	19.1830	0.0715	1.5235							
086.4432296975333	+09.0162549544622	086.44324709288	0.1193	+09.01625788084	0.1126	3336088668616148992	0.7938	0.1558	3.990	0.284	0.680	0.296	0	1.6459e+03	2.2400e+00	17.6474	0.0015	4.9508e+02	9.4042e+00	18.6147	0.0206	1.7512e+03	1.2737e+01	16.6536	0.0079	1.9611							
086.4455195477927	+09.0188615037548	086.44551752799	0.5976	+09.01885141909	0.5515	3336088668616149760	-0.4537	0.7401	-0.463	1.395	-2.342	1.220	0	1.3953e+02	1.0765e+00	20.3267	0.0084	5.8798e+01	1.0165e+01	20.9280	0.1877	1.6449e+02	9.4495e+00	19.2216	0.0624	1.7064							
086.4318701969513	+09.0185429697321	086.43188107346	0.5157	+09.01853214833	0.4709	3336088672910701824	1.3043	0.6875	2.495	1.369	-2.513	1.415	0	1.7924e+02	1.0860e+00	20.0548	0.0066	6.7590e+01	7.0184e+00	20.7767	0.1127	2.6691e+02	1.0992e+01	18.6960	0.0447	2.0807							
086.4400416371123	+09.0056453435277	086.44003148204	0.6804	+09.00564880066	0.6389	3336088569832789376	1.1235	0.8558	-2.330	1.670	0.803	1.449	0	1.1913e+02	1.2413e+00	20.4983	0.0113	6.8883e+01	4.7877e+00	20.7561	0.0755	1.0605e+02	8.0158e+00	19.6982	0.0821	1.0579							
086.4378247912266	+09.0186019473798	086.43781800553	0.0543	+09.01859249015	0.0518	3336088672913312640	0.4256	0.0664	-1.557	0.113	-2.197	0.102	0	6.0122e+03	5.1680e+00	16.2408	0.0009	2.4265e+03	1.2984e+01	16.8890	0.0058	5.3109e+03	1.1340e+01	15.4490	0.0023	1.4400			4447.99				
086.4306158579299	+09.0041634414270	086.43060262296	0.0484	+09.00414570793	0.0462	3336088638553365760	0.4208	0.0616	-3.036	0.101	-4.119	0.091	0	6.9951e+03	5.8046e+00	16.0764	0.0009	3.0407e+03	2.0624e+01	16.6439	0.0074	5.9445e+03	1.1129e+01	15.3266	0.0020	1.3173			4861.00				
086.4235761896043	+09.0098757862479	086.42357618960	1.8772	+09.00987578625	2.7133	3336088638552269440							0	9.8610e+01	1.4568e+00	20.7036	0.0160	4.5572e+01	1.5240e+01	21.2046	0.3631	1.2589e+02	9.4740e+00	19.5119	0.0817	1.6927							
086.3393397965382	+08.9776698379458	086.33933456268	0.6385	+08.97765165055	0.8043	3336088775989952512	-1.5959	1.2917	-1.201	1.073	-4.224	0.985	0	4.8759e+02	3.8321e+00	18.9682	0.0085	6.7323e+02	2.7767e-01	18.2810	0.0004	1.0919e+03	8.4615e+01	17.1664	0.0841	1.1145							
086.3502386043731	+08.9766369461775	086.35024764610	0.5550	+08.97663473728	0.5008	3336088810349688576	0.3783	0.6687	2.074	1.391	-0.513	1.307	0	1.6731e+02	1.3589e+00	20.1296	0.0088	8.7288e+01	1.2925e+01	20.4990	0.1608	1.9280e+02	1.0911e+01	19.0491	0.0614	1.4499							
086.3579712220987	+08.9841984681291	086.35797896215	0.3045	+08.98416919507	0.2938	3336088806055085696	0.9328	0.3568	1.776	0.649	-6.799	0.602	0	4.8323e+02	1.5921e+00	18.9780	0.0036	1.6899e+02	9.4782e+00	19.7817	0.0609	4.5251e+02	1.1262e+01	18.1228	0.0270	1.6589							
086.3546688655987	+08.9862651046798	086.35465999441	0.4619	+08.98627731523	0.4214	3336088806055086592	0.6587	0.5492	-2.035	1.256	2.836	1.261	0	2.6893e+02	1.6050e+00	19.6143	0.0065	1.1250e+02	1.2586e+01	20.2235	0.1215	2.5834e+02	8.4492e+00	18.7314	0.0355	1.4921							
086.3646570145505	+08.9700598182175	086.36467074125	0.1343	+08.97005948903	0.1187	3336088737335596160	0.4060	0.1662	3.149	0.327	-0.076	0.303	0	1.6776e+03	2.9243e+00	17.6266	0.0019	6.7060e+02	1.0929e+01	18.2852	0.0177	1.4507e+03	9.8065e+00	16.8580	0.0073	1.4272							
086.3518932146732	+08.9701248886316	086.35189655536	0.1746	+08.97012514949	0.1609	3336088771695334272	1.1921	0.1968	0.766	0.356	0.061	0.296	0	9.6859e+02	2.6155e+00	18.2230	0.0029	3.5666e+02	1.2291e+01	18.9708	0.0374	9.4924e+02	7.2873e+00	17.3185	0.0083	1.6523							
086.3399326049115	+08.9781433583926	086.33994083566	0.0699	+08.97812803229	0.0633	3336088775992331520	1.1026	0.0835	1.888	0.143	-3.560	0.126	0	6.0968e+04	2.7522e+01	13.7256	0.0005	2.8913e+04	6.0147e+01	14.1987	0.0023	4.7188e+04	5.6798e+01	13.0773	0.0013	1.1213			5060.68	1.9055	0.9570	1.91	2.160
086.3640483987050	+08.9768476319270	086.36403182045	0.5109	+08.97677457859	0.4669	3336088737335601408	1.9921	0.6058	-3.803	1.350	-16.967	1.237	0	2.3603e+02	1.3964e+00	19.7560	0.0064	7.6974e+01	2.2374e+01	20.6355	0.3156	3.2058e+02	1.2199e+01	18.4971	0.0413	2.1384							
086.3682633958221	+08.9696816653267	086.36827617522	0.3791	+08.96966442602	0.3223	3336088737335594752	-0.6546	0.5038	2.932	1.204	-4.004	1.221	0	3.4185e+02	1.8000e+00	19.3538	0.0057	1.3879e+02	7.3374e+00	19.9955	0.0574	3.2029e+02	7.9967e+00	18.4981	0.0271	1.4975							
086.3709410542349	+08.9721756930416	086.37095946570	0.4378	+08.97215504595	0.3994	3336088737335597568	0.9771	0.4622	4.224	1.160	-4.795	1.149	0	3.5498e+02	2.0717e+00	19.3129	0.0063	8.6776e+01	1.1159e+01	20.5054	0.1396	4.4980e+02	5.3363e+00	18.1294	0.0129	2.3760							
086.3609227204063	+08.9701677939970	086.36092781362	0.3781	+08.97016635874	0.3438	3336088741630211328	0.2689	0.4441	1.168	0.972	-0.333	0.980	0	3.1194e+02	2.0103e+00	19.4532	0.0070	1.4816e+02	1.0778e+01	19.9245	0.0790	2.7124e+02	1.3594e+01	18.6785	0.0544	1.2460							
086.3776134294395	+08.9786189388432	086.37761843163	0.3435	+08.97860626253	0.3118	3336088840414818304	0.4755	0.3976	1.148	0.870	-2.944	0.882	0	3.5430e+02	1.6746e+00	19.3149	0.0051	1.1319e+02	8.0355e+00	20.2168	0.0771	4.0238e+02	1.0110e+01	18.2503	0.0273	1.9665							
086.3559181996944	+08.9917602086654	086.35591580094	0.8543	+08.99174909538	0.7851	3336088913430200448	1.0044	1.0391	-0.550	2.356	-2.581	2.329	0	1.2426e+02	1.5176e+00	20.4525	0.0133	3.0847e+01	6.6479e+00	21.6284	0.2340	1.6636e+02	1.0834e+01	19.2093	0.0707	2.4191							
086.3546949489432	+08.9895904481993	086.35469494894	3.5655	+08.98959044820	3.1332	3336088913430201600							0	9.1443e+01	1.6861e+00	20.7855	0.0200	7.3354e+01	2.9176e+01	20.6878	0.4318	1.1722e+02	9.4235e+00	19.5894	0.0873	1.0984							
086.3639997150259	+08.9852682432761	086.36401052295	0.7412	+08.98526437262	0.6586	3336088913428894848	1.3901	0.9412	2.479	2.127	-0.899	2.106	0	1.2390e+02	1.2713e+00	20.4557	0.0111	3.6028e+01	1.3222e+01	21.4598	0.3985	1.8958e+02	1.1778e+01	19.0674	0.0675	2.3924							
086.3616539781241	+08.9943033354607	086.36165271643	0.3834	+08.99430707996	0.3488	3336088909134307200	0.2572	0.5430	-0.289	0.911	0.870	1.004	0	3.5411e+02	1.8744e+00	19.3155	0.0057	1.2206e+02	6.2037e+00	20.1349	0.0552	3.2876e+02	8.5963e+00	18.4697	0.0284	1.6652							
086.3818962131070	+08.9932040244764	086.38190140100	0.3249	+08.99320367017	0.2929	3336088874774567808	0.8151	0.3734	1.190	0.800	-0.082	0.753	0	5.0603e+02	1.8581e+00	18.9279	0.0040	1.9395e+02	8.2312e+00	19.6322	0.0461	4.8415e+02	1.2575e+01	18.0495	0.0282	1.5827							
