_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
086.3264180202233	+08.9494737235630	086.32641842567	0.4153	+08.94946984420	0.3843	3336087259866832256	0.3333	0.4643	0.093	1.002	-0.901	1.005	0	3.3271e+02	1.6990e+00	19.3832	0.0055	1.0450e+02	9.8306e+00	20.3036	0.1021	3.8588e+02	7.0367e+00	18.2958	0.0198	2.0078							
086.3318671904848	+08.9471196405416	086.33186719048	1.3819	+08.94711964054	1.2018	3336087195443772160							0	9.3003e+01	1.1101e+00	20.7671	0.0130	3.9340e+01	2.9978e+01	21.3643	0.8273	1.2717e+02	7.3641e+00	19.5009	0.0629	1.8633							
086.2983826956121	+08.9680212895511	086.29836662766	0.7298	+08.96802498950	0.6605	3336087539040687360	1.7416	0.8884	-3.686	1.921	0.859	1.890	0	1.3659e+02	1.1038e+00	20.3498	0.0088	5.2636e+01	7.7295e+00	21.0482	0.1594	1.8456e+02	9.8027e+00	19.0966	0.0577	1.9516							
086.3068245404690	+08.9552315725063	086.30682454047	1.4643	+08.95523157251	1.1984	3336087470321212928							0	9.0949e+01	1.4567e+00	20.7914	0.0174	1.2255e+01	4.9799e+00	22.6306	0.4412	1.2600e+02	3.1395e+00	19.5110	0.0271	3.1196							
086.2991455241777	+08.9641998089894	086.29914552418	11.4398	+08.96419980899	10.6472	3336087539040688512							0	8.8764e+01	1.5421e+00	20.8178	0.0189	5.6588e+01	1.4871e+01	20.9696	0.2853	8.3389e+01	9.6561e+00	19.9591	0.1257	1.0104							
086.3057156432806	+08.9691448509523	086.30571564328	0.8669	+08.96914485095	0.7109	3336087539039380736							0	1.5008e+03	4.5135e+00	17.7475	0.0033																
086.3098516472195	+08.9840811770274	086.30986097773	0.1185	+08.98407426662	0.1082	3336087569104504064	0.6343	0.1399	2.141	0.263	-1.605	0.243	0	1.5718e+03	2.7718e+00	17.6974	0.0019	6.5766e+02	1.0775e+01	18.3064	0.0178	1.3737e+03	9.3097e+00	16.9172	0.0074	1.3892							
086.3129498469370	+08.9718983564476	086.31294081265	0.6464	+08.97190899057	0.5857	3336087500385015936	0.5009	0.8069	-2.073	1.733	2.470	1.734	0	1.4134e+02	1.1078e+00	20.3127	0.0085	7.8805e+01	2.0471e+01	20.6100	0.2820	1.0954e+02	5.5869e+00	19.6629	0.0554	0.9471							
086.2892252025863	+08.9712920257325	086.28924614708	0.0806	+08.97128149987	0.0737	3336087534744754432	0.1682	0.0937	4.805	0.167	-2.445	0.140	0	3.1530e+03	3.5325e+00	16.9416	0.0012	1.3723e+03	1.5110e+01	17.5078	0.0120	2.6287e+03	1.2773e+01	16.2126	0.0053	1.2952			4913.40				
086.3152361129198	+08.9648122315139	086.31525630732	0.0811	+08.96479786061	0.0746	3336087500385010176	0.6616	0.0964	4.633	0.174	-3.338	0.159	0	3.0053e+03	3.4683e+00	16.9936	0.0013	1.2191e+03	1.3186e+01	17.6363	0.0117	2.5990e+03	1.2168e+01	16.2249	0.0051	1.4114			4429.50	0.7580	0.3723		
086.2920775751985	+08.9698361620174	086.29208299012	0.5549	+08.96982302876	0.5107	3336087534744752000	-0.9178	0.6911	1.242	1.390	-3.050	1.399	0	2.3285e+02	1.3209e+00	19.7707	0.0062	7.7206e+01	7.1093e+00	20.6323	0.1000	2.6994e+02	8.7911e+00	18.6837	0.0354	1.9485							
086.3181878830924	+08.9723886897983	086.31818788309	1.3633	+08.97238868980	1.1828	3336087500385016576							0	2.3911e+02	1.3323e+00	19.7419	0.0060	1.0087e+02	3.4447e+00	20.3420	0.0371	2.4085e+02	1.1518e+01	18.8076	0.0519	1.5344							
086.3188459977734	+08.9781696265146	086.31884662221	0.1975	+08.97816138164	0.1879	3336087500385021696	0.3193	0.2322	0.143	0.426	-1.915	0.391	0	8.2390e+02	2.1941e+00	18.3987	0.0029	3.2116e+02	1.3662e+01	19.0846	0.0462	7.2012e+02	1.0262e+01	17.6184	0.0155	1.4662							
086.2981799794974	+08.9769580450287	086.29818467782	0.4722	+08.97692485818	0.4252	3336087534744758912	-0.3979	0.5606	1.078	1.169	-7.708	1.104	0	2.0511e+02	1.2787e+00	19.9084	0.0068	7.2917e+01	1.2644e+01	20.6943	0.1883	2.2142e+02	7.5409e+00	18.8989	0.0370	1.7954							
086.3058200630438	+08.9613386644459	086.30582030812	0.4084	+08.96132638584	0.3772	3336087466025268864	-0.3953	0.4701	0.056	1.031	-2.852	1.033	0	2.8249e+02	1.5281e+00	19.5609	0.0059	1.1210e+02	9.0717e+00	20.2274	0.0879	2.4040e+02	5.0438e+00	18.8096	0.0228	1.4178							
086.3162802896220	+08.9594708764350	086.31629831919	0.1437	+08.95944571814	0.1408	3336087466025268096	0.4767	0.2023	4.136	0.304	-5.843	0.296	0	1.2353e+03	2.8164e+00	17.9590	0.0025	5.4675e+02	1.4472e+01	18.5069	0.0287	1.0442e+03	1.6549e+01	17.2150	0.0172	1.2920							
086.3058060973789	+08.9689755344136	086.30586572936	0.6010	+08.96901966377	0.5605	3336087539041754368	5.7061	0.7071	13.681	1.244	10.249	1.029	0	3.6641e+03	5.7548e+01	16.7785	0.0171	1.5894e+03	1.3979e+01	17.3483	0.0095	4.2012e+03	1.2598e+01	15.7035	0.0033	1.6448			4469.00				
086.3033016411764	+08.9643140025969	086.30330776996	0.4015	+08.96429359733	0.3746	3336087470322278656	0.1363	0.4549	1.406	0.981	-4.739	0.985	0	3.3161e+02	1.8150e+00	19.3868	0.0059	1.3624e+02	6.3991e+00	20.0156	0.0510	3.6206e+02	1.1714e+01	18.3650	0.0351	1.6506							
086.3008616479348	+08.9701511581589	086.30086741636	0.1356	+08.97013714972	0.1257	3336087534744753152	0.3905	0.1543	1.323	0.288	-3.254	0.262	0	1.7527e+03	2.8115e+00	17.5791	0.0017	7.9902e+02	1.4598e+01	18.0950	0.0198	1.4079e+03	1.0113e+01	16.8905	0.0078	1.2045							
086.3018053630245	+08.9792182562088	086.30180734977	0.1338	+08.97920954520	0.1219	3336087573401491968	0.2435	0.1587	0.456	0.300	-2.023	0.278	0	1.2929e+03	2.1021e+00	17.9095	0.0018	4.8771e+02	1.2184e+01	18.6310	0.0271	1.1416e+03	9.8922e+00	17.1182	0.0094	1.5128							
086.4028618557407	+08.9429249813594	086.40286197511	0.9017	+08.94292127900	0.7776	3336087710839359872	1.1341	0.8490	0.027	2.592	-0.860	2.464	0	1.4801e+02	1.4983e+00	20.2626	0.0110	6.9943e+01	9.0931e+00	20.7395	0.1412	1.4736e+02	9.0960e+00	19.3410	0.0670	1.3985							
086.4051376198560	+08.9438090885852	086.40514513401	0.2632	+08.94380359748	0.2549	3336087706543426048	-0.2882	0.3167	1.724	0.622	-1.275	0.619	0	5.2782e+02	2.0481e+00	18.8821	0.0042	2.6795e+02	1.1281e+01	19.2813	0.0457	4.2432e+02	1.4584e+01	18.1927	0.0373	1.0886							
086.3852321050136	+08.9353050590156	086.38522267758	1.1656	+08.93530476488	1.0704	3336087676479627136	-0.4834	1.5460	-2.163	2.927	-0.068	3.035	0	9.8128e+01	1.6283e+00	20.7089	0.0180	6.5273e+01	6.9919e+00	20.8145	0.1163	9.6303e+01	1.2585e+01	19.8028	0.1419	1.0117							
086.3845316559882	+08.9401683022991	086.38453391247	0.9402	+08.94018136365	0.7937	3336087676479625856	2.4580	0.9426	0.518	2.649	3.034	2.543	0	1.3847e+02	1.2696e+00	20.3350	0.0100	7.5666e+01	1.8437e+01	20.6541	0.2645	1.6494e+02	1.0101e+01	19.2186	0.0665	1.4355							
086.3807587943658	+08.9351976626120	086.38075864197	0.7847	+08.93519000930	0.7063	3336087676479628544	0.9909	0.9785	-0.035	2.217	-1.778	2.184	0	1.1305e+02	1.2593e+00	20.5552	0.0121	4.9833e+01	5.1160e+00	21.1076	0.1115	1.1473e+02	8.2023e+00	19.6127	0.0776	1.4949							
086.3884708789210	+08.9436517050416	086.38847123699	0.5801	+08.94365092819	0.5180	3336087710838060672	-1.4568	0.7290	0.082	1.597	-0.180	1.565	0	1.6215e+02	1.2732e+00	20.1636	0.0085	6.0067e+01	7.2089e+00	20.9048	0.1303	1.3347e+02	6.6905e+00	19.4484	0.0544	1.4564							
086.3970942287175	+08.9477603098386	086.39709352089	0.4543	+08.94779004857	0.4081	3336087706543429632	4.0795	0.5296	-0.162	1.011	6.907	0.897	0	6.0900e+02	7.8848e+00	18.7268	0.0141	2.8769e+02	8.8150e+00	19.2041	0.0333	6.2011e+02	6.1867e+00	17.7807	0.0108	1.4233							
086.4001054050014	+08.9402169084575	086.40010819206	0.0691	+08.94021277744	0.0624	3336087706543423872	0.6600	0.0845	0.639	0.157	-0.959	0.138	0	4.4780e+03	4.9857e+00	16.5606	0.0012	2.0945e+03	1.2636e+01	17.0487	0.0066	3.4352e+03	1.6361e+01	15.9220	0.0052	1.1266			4976.00	0.2370	0.1180	0.90	0.451
086.4030237766354	+08.9458218115578	086.40302766832	0.3209	+08.94581743305	0.3072	3336087706543427072	0.0783	0.3675	0.893	0.772	-1.017	0.769	0	4.5650e+02	1.7555e+00	19.0398	0.0042	1.8994e+02	1.1251e+01	19.6548	0.0643	4.3040e+02	1.3003e+01	18.1772	0.0328	1.4776							
086.3991273987039	+08.9370791307010	086.39913366395	0.1241	+08.93707669221	0.1240	3336087706543421568	0.1803	0.1610	1.437	0.285	-0.566	0.284	0	1.6756e+03	2.7802e+00	17.6279	0.0018	8.2877e+02	1.4767e+01	18.0553	0.0193	1.2642e+03	1.5060e+01	17.0074	0.0129	1.0479							
086.4153547585646	+08.9453808549824	086.41538124496	0.0371	+08.94535956884	0.0350	3336087745200176512	0.5676	0.0459	6.077	0.080	-4.944	0.076	0	1.5288e+04	9.5556e+00	15.2275	0.0007	7.3576e+03	2.5855e+01	15.6845	0.0038	1.1702e+04	1.8223e+01	14.5912	0.0017	1.0933			5067.79			1.85	2.041
086.4205906916574	+08.9655671723365	086.42059069166	2.3188	+08.96556717234	2.5278	3336087843982394368							1	1.2178e+02	1.7360e+00	20.4744	0.0155	1.1809e+02	2.6979e+01	20.1709	0.2481	2.3968e+02	3.5438e+01	18.8128	0.1605	1.3580							
086.4178769449031	+08.9690519234604	086.41787396872	0.6154	+08.96903648495	0.5517	3336087848278708608	0.6389	0.7675	-0.683	1.656	-3.586	1.587	0	1.7324e+02	1.4231e+00	20.0918	0.0089	4.7255e+01	7.9116e+00	21.1653	0.1818	1.9801e+02	9.5575e+00	19.0202	0.0524	2.1450							
086.4277033382370	+08.9559707844469	086.42770493256	0.5701	+08.95596590057	0.5133	3336087779557521408	-0.2665	0.7002	0.366	1.509	-1.134	1.497	0	1.7299e+02	1.1456e+00	20.0933	0.0072	7.0232e+01	8.6247e+00	20.7350	0.1333	2.0251e+02	1.0154e+01	18.9958	0.0544	1.7393							
086.4171201413685	+08.9424583396665	086.41713635360	0.5618	+08.94245732380	0.5068	3336087745198237952	-0.2481	0.7130	3.720	1.542	-0.236	1.528	0	1.7561e+02	1.2693e+00	20.0770	0.0078	7.0842e+01	1.0616e+01	20.7257	0.1627	2.0062e+02	1.1531e+01	19.0060	0.0624	1.7197							
086.4227239527060	+08.9587726402452	086.42272879689	0.0700	+08.95878280190	0.0651	3336087843982390016	0.3225	0.0848	1.111	0.146	2.360	0.131	0	4.7921e+03	4.8751e+00	16.4870	0.0011	2.2088e+03	1.2581e+01	16.9910	0.0062	3.8573e+03	1.5162e+01	15.7962	0.0043	1.1948			4878.00				
